author,measure,run,pos,word_list
Lermontov,Guiraud,14,VERB,жалеть чернеть послушать закрываться приучать потерять въезжать стоить толкнуть держаться
Lermontov,Guiraud,15,ADJ,сырой небрежный протяжный пугливый снеговой бесплодный взаимный булатный похожий восточный
Lermontov,Guiraud,15,NOUN,черкес улан арсений парамонович казбек седок степан ущелие аул старик
Lermontov,Guiraud,15,VERB,трещать увидать послушать приучать вздрагивать оборвать поведывать поговорить ошибаться осмеивать
Lermontov,Guiraud,16,ADJ,худой боярский цветной гладкий единственный маленький отцовский парчевой узорный сырой
Lermontov,Guiraud,16,NOUN,саша название степан ущелие опричник казбек мавруша плита братец сашка
Lermontov,Guiraud,16,VERB,послушать отворачивать отгадывать приучать жалеть гнуться унижать ошибаться ненавидеть увидать
Lermontov,Guiraud,17,ADJ,мучительный круглый похожий занятый косматый прибрежный русый синеватый упругий урочный
Lermontov,Guiraud,17,NOUN,саша измаил черкес сакля степан леда тучка боярин шашка пистолет
Lermontov,Guiraud,17,VERB,зарывать кидать забросить селить пожалеть промолвить увидать услыхать висеть засыхать
Lermontov,Guiraud,18,ADJ,женский беззаботный сырой южный безотчетный виноватый недовольный парчевой бесплодный однообразный
Lermontov,Guiraud,18,NOUN,название черкес старуха зара саша сакля сашка аул перчатка скелет
Lermontov,Guiraud,18,VERB,селить кидать почитать пощадить вскакивать грызть тесниться браниться впиваться измерять
Lermontov,Guiraud,19,ADJ,ледяной прибрежный модный внимательный худой косматый недовольный прошлый восточный хитрый
Lermontov,Guiraud,19,NOUN,измаил шашка зара сакля черкес маскерад раскаяние аул росламбек тирза
Lermontov,Guiraud,19,VERB,селить вскакивать почитать отгадывать стараться разбирать скрыпивать вернуться следовать отвыкать
Lermontov,Guiraud,20,ADJ,сырой кудрявый русый московский походный насмешливый единственный занятый меньшой недобрый
Lermontov,Guiraud,20,NOUN,сожаление арсений маскерад письмо тучка арбенин калитка кирибеевич чорт окно
Lermontov,Guiraud,20,VERB,увидать ошибаться умчаться послушать держаться пощадить сердиться шутить браниться закрываться
Lermontov,Guiraud,21,ADJ,женский гладкий прощальный взаимный пасмурный сырой косматый кудрявый одаренный упругий
Lermontov,Guiraud,21,NOUN,измаил черкес саша арсений зара кавказ сашка название безумец вспоминание
Lermontov,Guiraud,21,VERB,вернуться вырываться зарывать подождать иметь открываться ошибаться закрываться зеленеть приучать
Lermontov,Guiraud,22,ADJ,занятый окровавленный глупый безотчетный обидный премудрый случайный смуглый язвительный женский
Lermontov,Guiraud,22,NOUN,черкес саша казак сакля выстрел головка мужчина женщина клара шашка
Lermontov,Guiraud,22,VERB,услыхать знавать пощадить ценить взмахивать сглаживать кидать синеть воротиться дорожить
Lermontov,Guiraud,23,ADJ,бесполезный занятый ребяческий черкесский чугунный варяжский студеный смуглый русый скорый
Lermontov,Guiraud,23,NOUN,аул арсений крыльцо саша рурик шопот кавказ маскерад сакля название
Lermontov,Guiraud,23,VERB,селить удерживать баять обманывать ошибаться завидовать лгать отыскивать послушать увидать
Lermontov,Guiraud,24,ADJ,модный уверенный губернский завистливый степной шелковый слышный бесполезный медный недовольный
Lermontov,Guiraud,24,NOUN,черкес измаил сакля браслет аул терек тучка зара женщина кирибеевич
Lermontov,Guiraud,24,VERB,селить кружиться зарывать вернуться исторгать столпиться обманывать приучать кидать ошибаться
Lermontov,Guiraud,25,ADJ,сырой взаимный серебристый бесполезный боярский погибший польский синеватый недвижный женский
Lermontov,Guiraud,25,NOUN,черкес зара измаил аул морщина сакля выстрел кавказ грива ада
Lermontov,Guiraud,25,VERB,послушать теряться селить отгадывать отыскивать услыхать вскакивать ценить обвивать подумать
Lermontov,Guiraud,26,ADJ,ангельский дубовый мелочный недовольный походный ребяческий окровавленный снеговой сырой беззаботный
Lermontov,Guiraud,26,NOUN,браслет маскерад женщина степан название скелет купец калашников кирибеевич письмо
Lermontov,Guiraud,26,VERB,сглаживать обвинять чернеть баять браться отворять подъезжать потрясать прогнать увидать
Lermontov,Guiraud,27,ADJ,снеговой южный восточный обычный дымный смуглый мутный мучительный серый медный
Lermontov,Guiraud,27,NOUN,черкес маскерад браслет казбек арсений название акбулат арбенин терек караван
Lermontov,Guiraud,27,VERB,кидать селить гудать гнуться оборвать увидать храниться синеть пронзать держаться
Lermontov,Guiraud,28,ADJ,бесполезный женский гладкий семейный южный одаренный синеватый окровавленный прибрежный серый
Lermontov,Guiraud,28,NOUN,черкес арсений зара маскерад браслет казак женщина арбенин лора серна
Lermontov,Guiraud,28,VERB,селить ошибаться пощадить кидать послушать слыхать кинуть закрываться обращаться оправдывать
Lermontov,Guiraud,29,ADJ,бездушный сырой занятый терновый женский безбожный зубчатый обиженный модный беспокойный
Lermontov,Guiraud,29,NOUN,измаил черкес выстрел зара казак пистолет маскерад росламбек браслет шашка
Lermontov,Guiraud,29,VERB,увидать послушать ошибаться сделать объяснять сжалиться подождать разбирать разнести обманывать
Lermontov,Guiraud,30,ADJ,пасмурный губернский обычный скорый занятый косматый ледяной модный розовый морозный
Lermontov,Guiraud,30,NOUN,саша черкес измаил зара арсений улан литва морщина табун женщина
Lermontov,Guiraud,30,VERB,селить нравиться браниться дорожить замолкать показываться привыкать зарывать увидать отворачивать
Lermontov,Guiraud,31,ADJ,женатый ребяческий нынешний сырой дневной недобрый белолицый грязный губернский молодецкий
Lermontov,Guiraud,31,NOUN,черкес сакля саша арсений сашка выстрел яд орша росламбек женщина
Lermontov,Guiraud,31,VERB,ошибаться махнуть обвинять посмотреть обманывать объяснять отрекаться послушать сделать вернуться
Lermontov,Guiraud,32,ADJ,измятый кавказский осторожный язвительный виноватый малый похожий недовольный случайный подобный
Lermontov,Guiraud,32,NOUN,измаил черкес казак арсений быстрота досада аул выстрел морщина ненависть
Lermontov,Guiraud,32,VERB,послушать объяснять примечать обвинять странствовать посмотреть гнуться жалеть сделать казнить
Lermontov,Guiraud,33,ADJ,похожий мучительный дневной женатый походный недовольный сырой серый виноватый гладкий
Lermontov,Guiraud,33,NOUN,арбенин казак раскаяние женщина маска трус название приличие терек тростник
Lermontov,Guiraud,33,VERB,рисоваться увидать осмеивать поговорить проигрывать обманывать вернуться селить вздрагивать беречься
Lermontov,Guiraud,34,ADJ,московский прилежный мутный сырой женатый скрытый снеговой сторожевой виноватый должный
Lermontov,Guiraud,34,NOUN,черкес измаил аул сакля табун казак терек женщина сожаление браслет
Lermontov,Guiraud,34,VERB,открываться ошибаться махнуть гнуться жениться испугаться построить удерживать услыхать селить
Lermontov,Guiraud,35,ADJ,небрежный южный безгласный однообразный погибший прилежный душевный чугунный взаимный модный
Lermontov,Guiraud,35,NOUN,измаил сакля черкес саша табун пленник братец досада лакей леда
Lermontov,Guiraud,35,VERB,следовать синеть сделать увидать послушать ценить потерять очнуться обвинять пожалеть
Lermontov,Guiraud,36,ADJ,ребяческий мелкий гладкий незнакомый парчевой случайный урочный опасный серый упрямый
Lermontov,Guiraud,36,NOUN,арсений морщина акбулат зара аул зарево улан ада вспоминание сожаление
Lermontov,Guiraud,36,VERB,послушать чернеть грызть махать отыскивать проигрывать отуманивать почитать привязывать обманывать
Lermontov,Guiraud,37,ADJ,сырой ребяческий будущий окровавленный краткий пестрый безобразный беспрестанный варяжский жалобный
Lermontov,Guiraud,37,NOUN,женщина маскерад степан название тучка братец арсений казбек улан клара
Lermontov,Guiraud,37,VERB,закрываться умчаться махать теряться услыхать селить трещать вверяться обвинять отворачивать
Lermontov,Guiraud,38,ADJ,серый ледяной южный заботливый походный проворный снеговой зубчатый ничтожный сырой
Lermontov,Guiraud,38,NOUN,черкес акбулат опричник табун название аул подарок саша арсений караван
Lermontov,Guiraud,38,VERB,кидать разбирать тащить вернуться послушать отворять приказывать приучать храниться осмеивать
Lermontov,Guiraud,39,ADJ,косматый бесчувственный странный занятый виноватый смуглый окрестный смрадный виновный похожий
Lermontov,Guiraud,39,NOUN,измаил саша черкес браслет бал маскерад название сакля раскаяние женщина
Lermontov,Guiraud,39,VERB,послушать снести знавать случаться возмущать показываться удаляться вздумать добираться забросить
Lermontov,Guiraud,40,ADJ,ребяческий краткий снеговой серый женский похожий прощальный каменный безгласный зрелый
Lermontov,Guiraud,40,NOUN,черкес табун улан сакля арсений казак зораим бурка аул выстрел
Lermontov,Guiraud,40,VERB,обвинять селить увидать подарить почитать послушать обладать потерять висеть клясться
Lermontov,Guiraud,41,ADJ,сырой женский косматый глупый неизвестный жесткий прилежный завистливый одаренный недвижимый
Lermontov,Guiraud,41,NOUN,старуха сакля название аул гарун казбек тирза колено бес беседка
Lermontov,Guiraud,41,VERB,различать трещать послушать вернуться вырываться ошибаться грызть подождать унижать поговорить
Lermontov,Guiraud,42,ADJ,хитрый зубчатый похожий узорный серый южный худой шаткий белолицый княжеский
Lermontov,Guiraud,42,NOUN,измаил саша черкес сакля ворота арсений табун казак аул леда
Lermontov,Guiraud,42,VERB,услыхать ошибаться увидать обращаться отворачивать отыскивать гнуться следовать приезжать приковывать
Lermontov,Guiraud,43,ADJ,женатый русый виновный занятый похожий бойкий губернский ребяческий благодарный странный
Lermontov,Guiraud,43,NOUN,бал браслет черкес тучка акбулат зара раскаяние бок грива ребята
Lermontov,Guiraud,43,VERB,селить жалеть ненавидеть обращать храпеть зарывать тянуться клясться взмахивать дразнить
Lermontov,Guiraud,44,ADJ,внимательный женатый зубчатый модный застывший смуглый занятый опасный случайный скорый
Lermontov,Guiraud,44,NOUN,измаил черкес шашка сакля аул пленник казначей тростник горец пистолет
Lermontov,Guiraud,44,VERB,ошибаться послушать стоить унижать закрываться изменяться привязывать шутить клясться увидать
Lermontov,Guiraud,45,ADJ,худой военный косматый насмешливый смущенный открытый странный гладкий незлобный парчевой
Lermontov,Guiraud,45,NOUN,измаил черкес саша маскерад терек ада правило арбенин ущелие женщина
Lermontov,Guiraud,45,VERB,построить вскакивать гнуться послушать зарывать стоить отворачивать пощадить провожать проигрывать
Lermontov,Guiraud,46,ADJ,сырой ядовитый бесплотный взаимный терновый розовый круглый береговой бесконечный бойкий
Lermontov,Guiraud,46,NOUN,измаил саша черкес бал правило шашка браслет женщина аул сакля
Lermontov,Guiraud,46,VERB,различать объяснять одевать взмахивать привозить приезжать приседать пробегать пробудиться расходиться
Lermontov,Guiraud,47,ADJ,пасмурный светский взаимный занятый гладкий студеный серый недвижимый виновный мутный
Lermontov,Guiraud,47,NOUN,саша браслет арбенин бал кирибеевич маска кинжал зара черкешенка черкес
Lermontov,Guiraud,47,VERB,ошибаться изображать различать захотеть ценить гнуться доказывать приближаться привставать сглаживать
Lermontov,Guiraud,48,ADJ,женатый женский взаимный дубовый разнообразный ребяческий южный бренный гладкий нынешний
Lermontov,Guiraud,48,NOUN,зораим арсений зара терек пленник акбулат бурка старуха название хребет
Lermontov,Guiraud,48,VERB,селить гнуться висеть послушать изображать наказывать отыскивать стоить унижать взмахивать
Lermontov,Guiraud,49,ADJ,розовый смертельный сырой терновый странный взаимный серебристый женский худой кудрявый
Lermontov,Guiraud,49,NOUN,браслет акбулат перчатка сакля вольность баронесса дурак зораим морщина табун
Lermontov,Guiraud,49,VERB,ошибаться селить гибнуть вскакивать казнить объяснять осмеивать примечать жалеть потерять
Lermontov,Guiraud,50,ADJ,парчевой ребяческий сырой виноватый отдаленный кровожадный медленный недобрый бесплодный гладкий
Lermontov,Guiraud,50,NOUN,браслет зораим приличие саша улан маска леда маскерад название услуга
Lermontov,Guiraud,50,VERB,следовать удерживать кидать ошибаться синеть наблюдать схоронить проигрывать мочь побеждать
Lermontov,Guiraud,51,ADJ,женский мучительный странный небрежный краткий золотистый порочный синеватый терновый серебряный
Lermontov,Guiraud,51,NOUN,саша женщина выстрел шашка ильич сашка браслет арбенин мучение ущелие
Lermontov,Guiraud,51,VERB,селить возненавидеть следовать трещать вскакивать увидать веселиться знавать вздрагивать пожимать
Lermontov,Guiraud,52,ADJ,сырой похожий ребяческий подобный занятый благодарный давнишний испуганный непреклонный отомщеный
Lermontov,Guiraud,52,NOUN,черкес сакля саша вспоминание казбек мертвый улан бурка название аул
Lermontov,Guiraud,52,VERB,ошибаться вскакивать гнуться платить прислушиваться приучать прыгать храниться кидать мочь
Lermontov,Guiraud,53,ADJ,взаимный ребяческий бесплодный сырой прощальный обидный виновный серый гремучий обычный
Lermontov,Guiraud,53,NOUN,зара саша измаил табун черкес бурка пистолет название кирибеевич опричник
Lermontov,Guiraud,53,VERB,привлекать селить отворачивать вскакивать стараться увидать кинуть баять странствовать крутиться
Lermontov,Guiraud,54,ADJ,смуглый незнакомый черноокий взаимный завистливый мучительный шелковый снеговой непонятный белолицый
Lermontov,Guiraud,54,NOUN,сакля аул браслет акбулат прошлое пленник название кирибеевич скелет раскаяние
Lermontov,Guiraud,54,VERB,взмахивать отворачивать стоить услыхать селить жалеть ненавидеть дробиться оканчивать отправляться
Lermontov,Guiraud,55,ADJ,крайний поверженный прилежный русый природный ничтожный серый южный малый бойкий
Lermontov,Guiraud,55,NOUN,измаил черкес улан зораим тамара зара росламбек сакля аул изгнанник
Lermontov,Guiraud,55,VERB,тесниться грызть кидать отворять подъезжать прятаться селить закрываться продавать воображать
Lermontov,Guiraud,56,ADJ,занятый бесплодный женатый синеватый виноватый модный ребяческий узкий мягкий взаимный
Lermontov,Guiraud,56,NOUN,измаил черкес браслет женщина аул светлица наказание пальма парамонович причина
Lermontov,Guiraud,56,VERB,объяснять возненавидеть дорожить завидовать отворять построить унижать замечать звенеть бросаться
Lermontov,Guiraud,57,ADJ,недовольный худой крайний варяжский неизбежимый ребяческий согбенный упругий серый виноватый
Lermontov,Guiraud,57,NOUN,измаил маскерад саша чорт арбенин купец опричник черкес вещь гусар
Lermontov,Guiraud,57,VERB,селить построить послушать храпеть стараться дорожить трещать различать зарывать взмахивать
Lermontov,Guiraud,58,ADJ,внимательный неподвижный студеный виновный серый женский искусный неизбежимый окрестный окровавленный
Lermontov,Guiraud,58,NOUN,черкес арсений аул сакля плита окно жалость шашка кавказ сожаление
Lermontov,Guiraud,58,VERB,наказывать приказывать баять браниться отворачивать почитать примечать разбирать утаивать унижать
Lermontov,Guiraud,59,ADJ,мутный круглый людской сырой похожий виновный косматый небрежный цветной ангельский
Lermontov,Guiraud,59,NOUN,название саша вспоминание маскерад браслет арсений важность казбек степан раскаяние
Lermontov,Guiraud,59,VERB,послушать переставать разбирать унижать завидовать нравиться удерживать проклинать винить въезжать
Lermontov,Guiraud,60,ADJ,бешеный польский одаренный трепещущий язвительный гладкий измятый лишний мягкий обычный
Lermontov,Guiraud,60,NOUN,сакля прошлое название саша черкес аул арсений ильич талисман старуха
Lermontov,Guiraud,60,VERB,обвинять увидать отнимать послушать завидовать сжалиться приучать потерять выигрывать заманивать
Lermontov,Guiraud,61,ADJ,ничтожный завистливый косматый московский безотчетный походный серебристый ребяческий случайный смешной
Lermontov,Guiraud,61,NOUN,измаил черкес казак арсений казбек табун вспоминание сакля аул бал
Lermontov,Guiraud,61,VERB,селить тесниться освещать привыкать вернуться льстить отворачивать послушать звенеть въезжать
Lermontov,Guiraud,62,ADJ,сырой ребяческий худой южный варяжский гремучий женский степной виновный косматый
Lermontov,Guiraud,62,NOUN,женщина причина черкес насмешка степан зара казбек рая пистолет росламбек
Lermontov,Guiraud,62,VERB,различать иметь обвивать сглаживать сжалиться селить кидать проклинать гудать отгонять
Lermontov,Guiraud,63,ADJ,смуглый терновый женский виноватый небрежный студеный серый занятый сырой подобный
Lermontov,Guiraud,63,NOUN,саша название арбенин маскерад степан опричник шопот барон тягость женщина
Lermontov,Guiraud,63,VERB,селить привлекать следовать объяснять отыскивать ошибаться отвыкать различать сделать баять
Lermontov,Guiraud,64,ADJ,южный сырой желтый ребяческий дружеский окрестный гладкий женский серый бездушный
Lermontov,Guiraud,64,NOUN,табун сакля название терек саша черкес пистолет плита прошлое улан
Lermontov,Guiraud,64,VERB,ценить отыскивать осмеивать дорожить услыхать стараться возбуждать махать осыпать слетаться
Lermontov,Guiraud,65,ADJ,бесчувственный медный шелковый узкий странный смущенный черкесский безобразный монастырский неизвестный
Lermontov,Guiraud,65,NOUN,саша грива акбулат браслет женщина название сакля старуха преступление леда
Lermontov,Guiraud,65,VERB,обманывать отвергать различать ошибаться объяснять отгадывать увидать гнуться отвыкать отступать
Lermontov,Guiraud,66,ADJ,боярский модный сырой гладкий насмешливый мягкий круглый серебристый беспокойный шелковый
Lermontov,Guiraud,66,NOUN,черкес саша браслет женщина шашка сожаление зара пистолет чорт лора
Lermontov,Guiraud,66,VERB,вскакивать увидать селить вернуться гнуться освещать пожалеть примечать унижать отправляться
Lermontov,Guiraud,67,ADJ,зубчатый сырой женский походный виноватый уверенный подобный косматый ребяческий серебристый
Lermontov,Guiraud,67,NOUN,браслет арсений монах саша кирибеевич пелена разврат мнение будущее гарун
Lermontov,Guiraud,67,VERB,гнуться отыскивать услыхать послушать гудать прятаться вынимать отворачивать вскакивать дорожить
Lermontov,Guiraud,68,ADJ,пасмурный небрежный ребяческий косматый шелковый безгласный гладкий восточный смуглый случайный
Lermontov,Guiraud,68,NOUN,измаил черкес название зара клара леда арсений боец ничья тростник
Lermontov,Guiraud,68,VERB,следовать тянуться обманывать качать омывать ценить послушать жалеть занимать кидать
Lermontov,Guiraud,69,ADJ,модный женский одаренный женатый мучительный должный сырой крайний ядовитый косматый
Lermontov,Guiraud,69,NOUN,измаил черкес браслет шашка саша аул раскаяние клад название маскерад
Lermontov,Guiraud,69,VERB,ошибаться селить зарывать послушать взмахивать удерживать вернуться умчаться обманывать брести
Lermontov,Guiraud,70,ADJ,виноватый женатый заботливый прошлый измятый обычный осторожный русый сырой виновный
Lermontov,Guiraud,70,NOUN,браслет вспоминание леда женщина название аул акбулат зораим игумен ильич
Lermontov,Guiraud,70,VERB,селить ослабевать кидать поцеловать увидать погубить прижиматься браниться заплатить застучать
Lermontov,Guiraud,71,ADJ,желтый странный уверенный цветной круглый недобрый женский ледяной серый краткий
Lermontov,Guiraud,71,NOUN,черкес зара саша сакля акбулат дурак измаил ребята росламбек седло
Lermontov,Guiraud,71,VERB,селить знавать колебать привлекать кинуть чернеть платить пронзать услыхать кидать
Lermontov,Guiraud,72,ADJ,женский терновый мягкий лишний нескромный согласный завистливый степной бесплотный деятельный
Lermontov,Guiraud,72,NOUN,саша морщина правило черкес женщина маскерад казбек зара речка чорт
Lermontov,Guiraud,72,VERB,стараться вернуться стоить увядать различать теряться вскакивать доказывать построить привязывать
Lermontov,Guiraud,73,ADJ,южный восточный недовольный ребяческий занятый нынешний смуглый краткий скрытый черкесский
Lermontov,Guiraud,73,NOUN,терек черкес пленник морщина плита монах раскаяние яд билось грузинка
Lermontov,Guiraud,73,VERB,селить послушать привыкать сделать веровать веселить держаться поступать спадать вверяться
Lermontov,Guiraud,74,ADJ,уверенный сырой безобразный неумолимый одаренный небрежный зубчатый ребяческий виноватый маленький
Lermontov,Guiraud,74,NOUN,измаил черкес саша название морщина казак акбулат улан рая сакля
Lermontov,Guiraud,74,VERB,кидать послушать объяснять увидать гнуться отыскивать построить поговорить поступать услыхать
Lermontov,Guiraud,75,ADJ,смертельный гладкий зубчатый ледяной сырой недовольный смешной модный насмешливый степной
Lermontov,Guiraud,75,NOUN,арсений черкес табун грива рая терек акбулат арбенин женщина досада
Lermontov,Guiraud,75,VERB,послушать вернуться ошибаться потерять оправдывать отворачивать примечать пробегать жалеть измучивать
Lermontov,Guiraud,76,ADJ,женатый недовольный занятый измятый мелочный походный ребяческий давнишний светский смешной
Lermontov,Guiraud,76,NOUN,измаил черкес саша выстрел зара боярин кавказ сакля старик название
Lermontov,Guiraud,76,VERB,жалеть послушать вскакивать гнуться закрываться измерять осквернять почитать прятаться теряться
Lermontov,Guiraud,77,ADJ,женский польский ребяческий случайный благодарный парчевой восточный неопытный пыльный уверенный
Lermontov,Guiraud,77,NOUN,черкес терек название выстрел казбек прошлое женщина табун комната сашка
Lermontov,Guiraud,77,VERB,ошибаться послушать увидать осмеивать проигрывать хотеться казнить стараться вернуться держаться
Lermontov,Guiraud,78,ADJ,ледяной бешеный окровавленный ребяческий сребристый окрестный пугливый снеговой сырой случайный
Lermontov,Guiraud,78,NOUN,черкес измаил казак саша зара седло пистолет сакля маска оружие
Lermontov,Guiraud,78,VERB,селить решаться поступать проигрывать послушать изменяться вернуться вскакивать объяснять кинуть
Lermontov,Guiraud,79,ADJ,косматый небрежный должный уверенный худой ненужный польский виновный зубчатый тусклый
Lermontov,Guiraud,79,NOUN,браслет леда саша аул терек название казначей орша приличие улан
Lermontov,Guiraud,79,VERB,построить привлекать приучать вырываться нравиться обвинять теряться толкнуть вернуться изменяться
Lermontov,Guiraud,80,ADJ,булатный золотистый купеческий уверенный черноокий должный желтый женский опасный странный
Lermontov,Guiraud,80,NOUN,измаил сакля саша черкес арсений ущелие тамара улан черкешенка зара
Lermontov,Guiraud,80,VERB,селить держаться вздрагивать кидать махнуть почитать увидать висеть кивнуть обижать
Lermontov,Guiraud,81,ADJ,уверенный давнишний скоротечный похожий согласный преданный женатый измятый безотчетный гостеприимный
Lermontov,Guiraud,81,NOUN,саша сашка акбулат наказание раскаяние черкес опричник терек тирза черкешенка
Lermontov,Guiraud,81,VERB,жалеть осмеивать послушать обвинять услыхать пощадить беречься отгадывать обманывать потерять
