;id;note;text_final;author;header;text_raw
64;15429;first 400 words;"К чему мне вымыслы? к чему мечтанья мне 
 И нектар сладких упоений? 
 Я раннее прости сказал младой весне, 
 Весне надежд и заблуждений! 
 Не осушив его, фиал волшебств разбил; 
 При первых встречах жизнь в обманах обличил 
 И призраки принес в дань истине угрюмой; 
 Очарованья цвет в руках моих поблек, 
 И я сорвал с чела, наморщенного думой, 
 Бездушных радостей венок. 
 Но, льстивых лжебогов разоблачив кумиры, 
 Я правде посвятил свой пламенный восторг; 
 Не раз из непреклонной лиры 
 Он голос мужества исторг. 
 Мой Аполон -- негодованье! 
 При пламени его с свободных уст моих 
 Падет бесчестное молчанье 
 И загорится смелый стих. 
 Негодование! огонь животворящий! 
 Зародыш лучшего, что я в себе храню, 
 Встревоженный тобой, от сна встаю 
 И, благородною отвагою кипящий, 
 В волненьи бодром познаю 
 Могущество души и цену бытию. 
 Всех помыслов моих виновник и свидетель, 
 Ты от немой меня бесчувственности спас; 
 В молчаньи всех страстей меня твой будит глас: 
 Ты мне и жизнь и добродетель! 
 Поклонник истины в лета, 
 Когда мечты еще приятны, -- 
 Взвывали к ней мольбой и сердце и уста, 
 Но ветер разносил мой глас, толпе невнятный. 
 Под знаменем ее владычествует ложь; 
 Насильством прихоти потопаны уставы; 
 С ругательным челом бесчеловечной славы 
 Бесстыдство председит в собрании вельмож. 
 Отцов народов зрел господствующих страхом, 
 Советницей владык -- губительную лесть; 
 Печальную главу посыпав скорбным прахом, 
 Я зрел: изгнанницей поруганную честь, 
 Доступным торжищем -- святыню правосудья, 
 Служенье истине -- коварства торжеством, 
 Законы, правоты священные орудья, 
 Щитом могучему и слабому ярмом. 
 Зрел промышляющих спасительным глаголом, 
 Ханжей, торгующих учением святым, 
 В забвеньи бога душ -- одним земным престолам 
 Кадящих трепетно, одним богам земным. 
 Хранители казны народной, 
 На правый суд сбредитесь вы; 
 Ответствуйте: где дань отчаянной вдовы? 
 Где подать сироты голодной? 
 Корыстною рукой заграбил их разврат. 
 Презрев укор людей, забыв небес угрозы, 
 Испили жадно вы средь пиршеских прохлад 
 Кровавый пот труда и нищенские слезы; 
 На хищный ваш алтарь в усердии слепом 
 Народ имущество и жизнь свою приносит; 
 Став ваших прихотей угодливым рабом, 
 Отечество от чад вам в жертву жертвы просит. 
 Но что вам? Голосом алкающих страстей 
 Мать вопиющую вы дерзко заглушили; 
 От стрел раскаянья златым щитом честей 
 Ожесточенную вы совесть оградили. 
 Дни ваши без докук и ночи без тревог. 
 Твердыней, правде неприступной, 
 Надменно к облакам вознесся наш чертог, 
 И непорочность, зря дней ваших блеск преступный, 
 Смущаясь, говорит: «Где ж он? где ж казни бог? 
 Где ж судия необольстимый? 
 Что ж медлит он суд истины изречь? 
 Когда ж в руке его заблещет ярый меч 
 И поразит порок удар неотразимый?» 
 Здесь у подножья алтаря,  ";П. А. Вяземский;Негодование : «К чему мне вымыслы? к чему мечтанья мне...»;"К чему мне вымыслы? к чему мечтанья мне 
 И нектар сладких упоений? 
 Я раннее прости сказал младой весне, 
 Весне надежд и заблуждений! 
 Не осушив его, фиал волшебств разбил; 
 При первых встречах жизнь в обманах обличил 
 И призраки принес в дань истине угрюмой; 
 Очарованья цвет в руках моих поблек, 
 И я сорвал с чела, наморщенного думой, 
 Бездушных радостей венок. 
 Но, льстивых лжебогов разоблачив кумиры, 
 Я правде посвятил свой пламенный восторг; 
 Не раз из непреклонной лиры 
 Он голос мужества исторг. 
 Мой Аполон -- негодованье! 
 При пламени его с свободных уст моих 
 Падет бесчестное молчанье 
 И загорится смелый стих. 
 Негодование! огонь животворящий! 
 Зародыш лучшего, что я в себе храню, 
 Встревоженный тобой, от сна встаю 
 И, благородною отвагою кипящий, 
 В волненьи бодром познаю 
 Могущество души и цену бытию. 
 Всех помыслов моих виновник и свидетель, 
 Ты от немой меня бесчувственности спас; 
 В молчаньи всех страстей меня твой будит глас: 
 Ты мне и жизнь и добродетель! 
 Поклонник истины в лета, 
 Когда мечты еще приятны, -- 
 Взвывали к ней мольбой и сердце и уста, 
 Но ветер разносил мой глас, толпе невнятный. 
 Под знаменем ее владычествует ложь; 
 Насильством прихоти потопаны уставы; 
 С ругательным челом бесчеловечной славы 
 Бесстыдство председит в собрании вельмож. 
 Отцов народов зрел господствующих страхом, 
 Советницей владык -- губительную лесть; 
 Печальную главу посыпав скорбным прахом, 
 Я зрел: изгнанницей поруганную честь, 
 Доступным торжищем -- святыню правосудья, 
 Служенье истине -- коварства торжеством, 
 Законы, правоты священные орудья, 
 Щитом могучему и слабому ярмом. 
 Зрел промышляющих спасительным глаголом, 
 Ханжей, торгующих учением святым, 
 В забвеньи бога душ -- одним земным престолам 
 Кадящих трепетно, одним богам земным. 
 Хранители казны народной, 
 На правый суд сбредитесь вы; 
 Ответствуйте: где дань отчаянной вдовы? 
 Где подать сироты голодной? 
 Корыстною рукой заграбил их разврат. 
 Презрев укор людей, забыв небес угрозы, 
 Испили жадно вы средь пиршеских прохлад 
 Кровавый пот труда и нищенские слезы; 
 На хищный ваш алтарь в усердии слепом 
 Народ имущество и жизнь свою приносит; 
 Став ваших прихотей угодливым рабом, 
 Отечество от чад вам в жертву жертвы просит. 
 Но что вам? Голосом алкающих страстей 
 Мать вопиющую вы дерзко заглушили; 
 От стрел раскаянья златым щитом честей 
 Ожесточенную вы совесть оградили. 
 Дни ваши без докук и ночи без тревог. 
 Твердыней, правде неприступной, 
 Надменно к облакам вознесся наш чертог, 
 И непорочность, зря дней ваших блеск преступный, 
 Смущаясь, говорит: «Где ж он? где ж казни бог? 
 Где ж судия необольстимый? 
 Что ж медлит он суд истины изречь? 
 Когда ж в руке его заблещет ярый меч 
 И поразит порок удар неотразимый?» 
 Здесь у подножья алтаря, 
 Там у престола в вышнем сане 
 Я вижу подданных царя, 
 Но где ж отечества граждане? 
 Для вас отечество -- дворец, 
 Слепые властолюбья слуги! 
 Уступки совести -- заслуги! 
 Взор власти -- всех заслуг венец! 
 Нет! нет! не при твоем, отечество! зерцале 
 На жизнь и смерть они произнесли обет: 
 Нет слез в них для твоих печалей, 
 Нет песней для твоих побед! 
 Им слава предков без преданий, 
 Им нем заветный гроб отцов! 
 И колыбель твох сынов 
 Им не святыня упований! 
 Ищу я искренних жрецов 
 Свободы, сильных душ кумира -- 
 Обширная темница мира 
 Являет мне одних рабов. 
 О ты, которая из детства 
 Зажгла во мне священный жар, 
 При коей сносны жизни бедства, 
 Без коей счастье -- тщетный дар, 
 Свобода! пылким вдохновеньем, 
 Я первый русским песнопеньем 
 Тебя приветствовать дерзал; 
 И звучным строем песней новых 
 Будил молчанье скал суровых 
 И слух ничтожных устрашал. 
 В век лучший вознесясь от мрачной сей юдоли 
 Свидетель нерожденных лет -- 
 Свободу пел одну на языке неволи, 
 В оковах был я, твой поэт! 
 Познают песнь мои потомки! 
 Ты свят мне был, язык богов! 
 И мира гордые обломки 
 Переживут венцы льстецов! 
 Но где же чистое горит твое светило? 
 Здесь плавает оно в кровавых облаках, 
 Там бедственным его туманом обложило, 
 И светится едва в мерцающих лучах. 
 Там нож преступный изуверства 
 Алтарь твой девственный багрит; 
 Порок с улыбкой дикой зверства 
 Тебя злодействами честит. 
 Здесь власть в дремоте закоснелой, 
 Даров небесных лютый бич, 
 Грозит цепьми и мысли смелой, 
 Тебя дерзающей постичь. 
 Здесь стадо робкое ничтожных 
 Витии поучений ложных 
 Пугают именем твоим; 
 И твой сообщник -- просвещенье 
 С тобой, в их наглом ослепленье, 
 Одной секирою разим. 
 Там хищного господства страсти 
 Последнею уловкой власти 
 Союз твой гласно признают; 
 Но под щитом твоим священным 
 Во тьме народам обольщенным 
 Неволи хитрой цепь куют. 
 Свобода! о младая дева! 
 Посланница благих богов! 
 Ты победишь упорство гнева 
 Твоих неистовых врагов. 
 Ты разорвешь рукой могущей 
 Насильства бедственный устав 
 И на досках судьбы грядущей 
 Снесешь нам книгу вечных прав, 
 Союз между граждан и троном, 
 Вдохнешь в царей ко благу страсть, 
 Невинность примиришь с законом, 
 С любовью подданного власть. 
 Ты снимешь роковую клятву 
 С чела поникшего к земле 
 И пахарю осветишь жатву, 
 Темнеющую в рабской мгле. 
 Твой глас, будитель изобилья, 
 Нагие степи утучнит, 
 Промышленность распустит крылья 
 И жизнь в пустыне водворит; 
 Невежество, всех бед виновник, 
 Исчезнет от твоих лучей, 
 Как ночи сумрачный любовник 
 При блеске утренних огней. 
 Он загорится, день, день торжества и казни, 
 День радостных надежд, день горестной боязни! 
 Раздастся песнь побед, вам, истины жрецы, 
 Вам, други чести и свободы! 
 Вам плач надгробный! вам, отступники природы! 
 Вам, притеснители! вам, низкие льстецы! 
 Но мне ли медлить? Грязную их братью 
 Карающим стихом я ныне поражу; 
 На их главу клеймо презренья положу 
 И обреку проклятью. 
 Пусть правды мстительный Перун 
 На терпеливом небе дремлет, 
 Но мужественный строй моих свободных струн 
 Их совесть ужасом объемлет. 
 Пот хладный страха и стыда 
 Пробьет на их челе угрюмом, 
 И честь их распадется с шумом 
 При гласе правого суда. 
 Страж пепла их, моя недремлющая злоба 
 Их поглотивший мрак забвенья разорвет 
 И, гневною рукой из недр исхитив гроба, 
 Ко славе бедственной их память прикует.


"
65;15467;ok;"Несись с неукротимым гневом, 
 Мятежной влаги властелин! 
 Над тишиной окрестной ревом 
 Господствуй, гордый исполин!


Жемчужною кипящей лавой, 
 За валом низвергая вал, 
 Сердитый, дикий, величавый, 
 Перебегай ступени скал!


Дождь брызжет от упорной сшибки 
 Волны, сразившейся с волной, 
 И влажный дым, как облак зыбкий, 
 Вдали их представляет бой.


Все разъяренней, все угрюмей 
 Летишь, как гений непогод; 
 Я мыслью погружаюсь в шуме 
 Междоусобно-бурных вод.


Но как вокруг все безмятежно, 
 И, утомленные тобой, 
 Как чувства отдыхают нежно, 
 Любуясь сельской тишиной!


Твой ясный берег чужд смятенью, 
 На нем цветет весны краса, 
 И вместе миру и волненью 
 Светлеют те же небеса.


Но ты, созданье тайной бури, 
 Игралище глухой войны, 
 Ты не зерцало их лазури, 
 Вотще блестящей вышины.


Противоречие природы, 
 Под грозным знаменем тревог, 
 В залоге вечной непогоды 
 Ты бытия приял залог.


Ворвавшись в сей предел спокойный, 
 Один свирепствуешь в глуши, 
 Как вдоль пустыни вихорь знойный, 
 Как страсть в святилище души.


Как ты, внезапно разразится, 
 Как ты, растет она в борьбе, 
 Терзает лоно, где родится, 
 И поглощается в себе.


";П. А. Вяземский;Нарвский водопад : «Несись с неукротимым гневом...»;"Несись с неукротимым гневом, 
 Мятежной влаги властелин! 
 Над тишиной окрестной ревом 
 Господствуй, гордый исполин!


Жемчужною кипящей лавой, 
 За валом низвергая вал, 
 Сердитый, дикий, величавый, 
 Перебегай ступени скал!


Дождь брызжет от упорной сшибки 
 Волны, сразившейся с волной, 
 И влажный дым, как облак зыбкий, 
 Вдали их представляет бой.


Все разъяренней, все угрюмей 
 Летишь, как гений непогод; 
 Я мыслью погружаюсь в шуме 
 Междоусобно-бурных вод.


Но как вокруг все безмятежно, 
 И, утомленные тобой, 
 Как чувства отдыхают нежно, 
 Любуясь сельской тишиной!


Твой ясный берег чужд смятенью, 
 На нем цветет весны краса, 
 И вместе миру и волненью 
 Светлеют те же небеса.


Но ты, созданье тайной бури, 
 Игралище глухой войны, 
 Ты не зерцало их лазури, 
 Вотще блестящей вышины.


Противоречие природы, 
 Под грозным знаменем тревог, 
 В залоге вечной непогоды 
 Ты бытия приял залог.


Ворвавшись в сей предел спокойный, 
 Один свирепствуешь в глуши, 
 Как вдоль пустыни вихорь знойный, 
 Как страсть в святилище души.


Как ты, внезапно разразится, 
 Как ты, растет она в борьбе, 
 Терзает лоно, где родится, 
 И поглощается в себе.


"
66;15473;ok;"Как стаи гордых лебедей, 
 На синем море волны блещут, 
 Лобзаются, ныряют, плещут 
 По стройной прихоти своей. 
 И упивается мой слух 
 Их говором необычайным, 
 И сладко предается дух 
 Мечтам пленительным и тайным.


Так! древности постиг теперь 
 Я баснословную святыню: 
 О волны! красоты богиню 
 Я признаю за вашу дщерь! 
 Так, верю: родилась она 
 Из вашей колыбели зыбкой, 
 И пробудила мир от сна 
 Своею свежею улыбкой.


Так, верю: здесь явилась ты, 
 Очаровательница мира! 
 В прохладе влажного сафира, 
 В стихии светлой чистоты. 
 Нам чистым сердцем внушены 
 Прекрасных таинств откровенья: 
 Из лона чистой глубины 
 Явилась ты, краса творенья.


И в наши строгие лета, 
 Лета существенности лютой, 
 При вас одних, хотя минутой, 
 Вновь забывается мечта! 
 Не смели изменить века 
 Ваш образ светлый, вечно юный, 
 Ни смертных хищная рука, 
 Ни рока грозного перуны!


В вас нет следов житейских бурь, 
 Следов безумства и гордыни, 
 И вашей девственной святыни 
 Не опозорена лазурь. 
 Кровь ближних не дымится в ней; 
 На почве, смертным не послушной, 
 Нет мрачных знаменей страстей, 
 Свирепых в злобе малодушной.


И если смертный возмутит 
 Весь мир преступною отвагой, 
 Вы очистительною влагой 
 Спешите смыть мгновенный стыд. 
 Отринутый из чуждых недр, 
 Он поглощаем шумной бездной; 
 Так пятна облачные ветр 
 Сметает гневно с сени звездной!


Людей и времени раба, 
 Земля состарелась в неволе; 
 Шутя ее играют долей 
 Владыки, веки и судьба. 
 Но вы все те ж, что в день чудес, 
 Как солнце первое в вас пало, 
 О вы, незыблемых небес 
 Ненарушимое зерцало!


Так и теперь моей мечте 
 Из лона зе́ркальной пустыни 
 Светлеет лик младой богини 
 В прозрачно-влажной красоте. 
 Вокруг нее, как радуг блеск, 
 Вершины волн горят игривей, 
 И звучный ропот их и плеск 
 Еще душе красноречивей!


Над ней, как звезды, светят сны, 
 Давно померкшие в тумане, 
 Которые так ясно ране 
 Горели в небе старины. 
 Из волн, целующих ее, 
 Мне веют речи дивной девы; 
 В них слышно прежнее бытье, 
 Как лет младенческих напевы.


Они чаруют и целят 
 Тоску сердечного недуга; 
 Как мировое слово друга, 
 Все чувства меж собой мирят. 
 В невыразимости своей 
 Сколь выразителен сей лепет: 
 Он пробудил в душе моей 
 Восторгов тихих слабый трепет.


Как звучно льнет зефир к струнам, 
 Играя арфою воздушной, 
 Так и в душе моей послушной 
 Есть отзыв песням и мечтам. 
 Волшебно забывает ум 
 О настоящем, мысль гнетущем, 
 И в сладострастьи стройных дум 
 Я весь в протекшем, весь в грядущем.


Сюда, поэзии жрецы! 
 Сюда, существенности жертвы! 
 Кумиры ваши здесь не мертвы, 
 И не померкли их венцы. 
 Про вас поэзия хранит 
 Свои преданья и поверья; 
 И здесь, где море вам шумит, 
 Святыни светлыя преддверья!


";П. А. Вяземский;Море : «Как стаи гордых лебедей...»;"Как стаи гордых лебедей, 
 На синем море волны блещут, 
 Лобзаются, ныряют, плещут 
 По стройной прихоти своей. 
 И упивается мой слух 
 Их говором необычайным, 
 И сладко предается дух 
 Мечтам пленительным и тайным.


Так! древности постиг теперь 
 Я баснословную святыню: 
 О волны! красоты богиню 
 Я признаю за вашу дщерь! 
 Так, верю: родилась она 
 Из вашей колыбели зыбкой, 
 И пробудила мир от сна 
 Своею свежею улыбкой.


Так, верю: здесь явилась ты, 
 Очаровательница мира! 
 В прохладе влажного сафира, 
 В стихии светлой чистоты. 
 Нам чистым сердцем внушены 
 Прекрасных таинств откровенья: 
 Из лона чистой глубины 
 Явилась ты, краса творенья.


И в наши строгие лета, 
 Лета существенности лютой, 
 При вас одних, хотя минутой, 
 Вновь забывается мечта! 
 Не смели изменить века 
 Ваш образ светлый, вечно юный, 
 Ни смертных хищная рука, 
 Ни рока грозного перуны!


В вас нет следов житейских бурь, 
 Следов безумства и гордыни, 
 И вашей девственной святыни 
 Не опозорена лазурь. 
 Кровь ближних не дымится в ней; 
 На почве, смертным не послушной, 
 Нет мрачных знаменей страстей, 
 Свирепых в злобе малодушной.


И если смертный возмутит 
 Весь мир преступною отвагой, 
 Вы очистительною влагой 
 Спешите смыть мгновенный стыд. 
 Отринутый из чуждых недр, 
 Он поглощаем шумной бездной; 
 Так пятна облачные ветр 
 Сметает гневно с сени звездной!


Людей и времени раба, 
 Земля состарелась в неволе; 
 Шутя ее играют долей 
 Владыки, веки и судьба. 
 Но вы все те ж, что в день чудес, 
 Как солнце первое в вас пало, 
 О вы, незыблемых небес 
 Ненарушимое зерцало!


Так и теперь моей мечте 
 Из лона зе́ркальной пустыни 
 Светлеет лик младой богини 
 В прозрачно-влажной красоте. 
 Вокруг нее, как радуг блеск, 
 Вершины волн горят игривей, 
 И звучный ропот их и плеск 
 Еще душе красноречивей!


Над ней, как звезды, светят сны, 
 Давно померкшие в тумане, 
 Которые так ясно ране 
 Горели в небе старины. 
 Из волн, целующих ее, 
 Мне веют речи дивной девы; 
 В них слышно прежнее бытье, 
 Как лет младенческих напевы.


Они чаруют и целят 
 Тоску сердечного недуга; 
 Как мировое слово друга, 
 Все чувства меж собой мирят. 
 В невыразимости своей 
 Сколь выразителен сей лепет: 
 Он пробудил в душе моей 
 Восторгов тихих слабый трепет.


Как звучно льнет зефир к струнам, 
 Играя арфою воздушной, 
 Так и в душе моей послушной 
 Есть отзыв песням и мечтам. 
 Волшебно забывает ум 
 О настоящем, мысль гнетущем, 
 И в сладострастьи стройных дум 
 Я весь в протекшем, весь в грядущем.


Сюда, поэзии жрецы! 
 Сюда, существенности жертвы! 
 Кумиры ваши здесь не мертвы, 
 И не померкли их венцы. 
 Про вас поэзия хранит 
 Свои преданья и поверья; 
 И здесь, где море вам шумит, 
 Святыни светлыя преддверья!


"
67;15500;ok;"Сердца томная забота, 
 Безымянная печаль! 
 Я невольно жду чего-то, 
 Мне чего-то смутно жаль.


Не хочу и не умею 
 Я развлечь свою хандру: 
 Я хандру свою лелею, 
 Как любви своей сестру.


Ей предавшись с сладострастьем, 
 Благодарно помню я, 
 Что сироткой под ненастьем 
 Разрослась любовь моя;


Дочь туманного созвездья, 
 Красных дней и ей не знать, 
 Ни сочувствий, ни возмездья 
 Бесталанной не видать.


Дети тайны и смиренья, 
 Гости сердца моего 
 Остаются без призренья 
 И не просят ничего.


Жертвы милого недуга, 
 Им знакомого давно, 
 Берегут они друг друга 
 И горюют заодно.


Их никто не приголубит, 
 Их ничто не исцелит... 
 Поглядишь: хандра все любит, 
 А любовь всегда хандрит.


";П. А. Вяземский;Хандра : «Сердца томная забота...»;"Сердца томная забота, 
 Безымянная печаль! 
 Я невольно жду чего-то, 
 Мне чего-то смутно жаль.


Не хочу и не умею 
 Я развлечь свою хандру: 
 Я хандру свою лелею, 
 Как любви своей сестру.


Ей предавшись с сладострастьем, 
 Благодарно помню я, 
 Что сироткой под ненастьем 
 Разрослась любовь моя;


Дочь туманного созвездья, 
 Красных дней и ей не знать, 
 Ни сочувствий, ни возмездья 
 Бесталанной не видать.


Дети тайны и смиренья, 
 Гости сердца моего 
 Остаются без призренья 
 И не просят ничего.


Жертвы милого недуга, 
 Им знакомого давно, 
 Берегут они друг друга 
 И горюют заодно.


Их никто не приголубит, 
 Их ничто не исцелит... 
 Поглядишь: хандра все любит, 
 А любовь всегда хандрит.


"
68;15515;ok;"Я пережил и многое, и многих, 
 И многому изведал цену я; 
 Теперь влачусь в одних пределах строгих 
 Известного размера бытия. 
 Мой горизонт и сумрачен, и близок, 
 И с каждым днем все ближе и темней. 
 Усталых дум моих полет стал низок, 
 И мир души безлюдней и бедней. 
 Не заношусь вперед мечтою жадной, 
 Надежды глас замолк, -- и на пути, 
 Протоптанном действительностью хладной, 
 Уж новых мне следов не провести. 
 Как ни тяжел мне был мой век суровый, 
 Хоть житницы моей запас и мал, 
 Но ждать ли мне безумно жатвы новой, 
 Когда уж снег из зимних туч напал? 
 По бороздам серпом прожатой пашни 
 Найдешь еще, быть может, жизни след; 
 Во мне найдешь, быть может, след вчерашний, -- 
 Но ничего уж завтрашнего нет. 
 Жизнь разочлась со мной; она не в силах 
 Мне то отдать, что у меня взяла, 
 И что земля в глухих своих могилах 
 Безжалостно навеки погребла.


";П. А. Вяземский;Я пережил : «Я пережил и многое, и многих...»;"Я пережил и многое, и многих, 
 И многому изведал цену я; 
 Теперь влачусь в одних пределах строгих 
 Известного размера бытия. 
 Мой горизонт и сумрачен, и близок, 
 И с каждым днем все ближе и темней. 
 Усталых дум моих полет стал низок, 
 И мир души безлюдней и бедней. 
 Не заношусь вперед мечтою жадной, 
 Надежды глас замолк, -- и на пути, 
 Протоптанном действительностью хладной, 
 Уж новых мне следов не провести. 
 Как ни тяжел мне был мой век суровый, 
 Хоть житницы моей запас и мал, 
 Но ждать ли мне безумно жатвы новой, 
 Когда уж снег из зимних туч напал? 
 По бороздам серпом прожатой пашни 
 Найдешь еще, быть может, жизни след; 
 Во мне найдешь, быть может, след вчерашний, -- 
 Но ничего уж завтрашнего нет. 
 Жизнь разочлась со мной; она не в силах 
 Мне то отдать, что у меня взяла, 
 И что земля в глухих своих могилах 
 Безжалостно навеки погребла.


"
69;2780;ok;"Расстались мы; на миг очарованьем, 
 На краткий миг была мне жизнь моя; 
 Словам любви внимать не буду я, 
 Не буду я дышать любви дыханьем! 
 Я всё имел, лишился вдруг всего; 
 Лишь начал сон... исчезло сновиденье! 
 Одно теперь унылое смущенье 
 Осталось мне от счастья моего.


";Е. А. Баратынский;Разлука : «Расстались мы на миг очарованьем...»;"Расстались мы; на миг очарованьем, 
 На краткий миг была мне жизнь моя; 
 Словам любви внимать не буду я, 
 Не буду я дышать любви дыханьем! 
 Я всё имел, лишился вдруг всего; 
 Лишь начал сон... исчезло сновиденье! 
 Одно теперь унылое смущенье 
 Осталось мне от счастья моего.


"
70;2784;ok;"Рассеевает грусть пиров веселый шум. 
 Вчера, за чашей круговою, 
 Средь братьев полковых, в ней утопив свой ум, 
 Хотел воскреснуть я душою.


Туман полуночный на холмы возлегал; 
 Шатры над озером дремали, 
 Лишь мы не знали сна -- и пенистый бокал 
 С весельем буйным осушали.


Но что же? вне себя я тщетно жить хотел: 
 Вино и Вакха мы хвалили, 
 Но я безрадостно с друзьями радость пел: 
 Восторги их мне чужды были.


Того не приобресть, что сердцем не дано, 
 Рок злобный к нам ревниво злобен: 
 Одну печаль свою, уныние одно 
 Унылый чувствовать способен!


";Е. А. Баратынский;Уныние : «Рассеевает грусть пиров веселый шум...»;"Рассеевает грусть пиров веселый шум. 
 Вчера, за чашей круговою, 
 Средь братьев полковых, в ней утопив свой ум, 
 Хотел воскреснуть я душою.


Туман полуночный на холмы возлегал; 
 Шатры над озером дремали, 
 Лишь мы не знали сна -- и пенистый бокал 
 С весельем буйным осушали.


Но что же? вне себя я тщетно жить хотел: 
 Вино и Вакха мы хвалили, 
 Но я безрадостно с друзьями радость пел: 
 Восторги их мне чужды были.


Того не приобресть, что сердцем не дано, 
 Рок злобный к нам ревниво злобен: 
 Одну печаль свою, уныние одно 
 Унылый чувствовать способен!


"
71;2787;ok;"Не искушай меня без нужды 
 Возвратом нежности твоей: 
 Разочарованному чужды 
 Все обольщенья прежних дней! 
 Уж я не верю увереньям, 
 Уж я не верую в любовь, 
 И не могу предаться вновь 
 Раз изменившим сновиденьям! 
 Слепой тоски моей не множь, 
 Не заводи о прежнем слова, 
 И, друг заботливый, больнова 
 В его дремоте не тревожь! 
 Я сплю, мне сладко усыпленье; 
 Забудь бывалые мечты: 
 В душе моей одно волненье, 
 А не любовь пробудишь ты.


";Е. А. Баратынский;Разуверение : «Не искушай меня без нужды...»;"Не искушай меня без нужды 
 Возвратом нежности твоей: 
 Разочарованному чужды 
 Все обольщенья прежних дней! 
 Уж я не верю увереньям, 
 Уж я не верую в любовь, 
 И не могу предаться вновь 
 Раз изменившим сновиденьям! 
 Слепой тоски моей не множь, 
 Не заводи о прежнем слова, 
 И, друг заботливый, больнова 
 В его дремоте не тревожь! 
 Я сплю, мне сладко усыпленье; 
 Забудь бывалые мечты: 
 В душе моей одно волненье, 
 А не любовь пробудишь ты.


"
72;2830;ok;"Напрасно мы, Дельвиг, мечтаем найти 
 В сей жизни блаженство прямое; 
 Небесные боги не делятся им 
 С земными детьми Прометея.


Похищенной искрой созданье свое 
 Дерзнул оживить безрассудный; 
 Бессмертных он презрел -- и страшная казнь 
 Постигнула чад святотатства.


Наш тягостный жребий: положенный срок 
 Питаться болезненной жизнью, 
 Любить и лелеять недуг бытия 
 И смерти отрадной страшиться.


Нужды непреклонной слепые рабы, 
 Рабы самовластного рока! 
 Земным ощущеньям насильственно нас 
 Случайная жизнь покоряет.


Но в искре небесной прияли мы жизнь, 
 Нам памятно небо родное, 
 В желании счастья мы вечно к нему 
 Стремимся неясным желаньем!..


Вотще! Мы надолго отвержены им! 
 Сияет красою над нами, 
 На бренную землю беспечно оно 
 Торжественный свод опирает...


Но нам недоступно! Как алчный Тантал 
 Сгорает средь влаги прохладной, 
 Так, сердцем постигнув блаженнейший мир, 
 Томимся мы жаждою счастья.


";Е. А. Баратынский;Дельвигу : «Напрасно мы, Дельвиг, мечтаем найти...»;"Напрасно мы, Дельвиг, мечтаем найти 
 В сей жизни блаженство прямое; 
 Небесные боги не делятся им 
 С земными детьми Прометея.


Похищенной искрой созданье свое 
 Дерзнул оживить безрассудный; 
 Бессмертных он презрел -- и страшная казнь 
 Постигнула чад святотатства.


Наш тягостный жребий: положенный срок 
 Питаться болезненной жизнью, 
 Любить и лелеять недуг бытия 
 И смерти отрадной страшиться.


Нужды непреклонной слепые рабы, 
 Рабы самовластного рока! 
 Земным ощущеньям насильственно нас 
 Случайная жизнь покоряет.


Но в искре небесной прияли мы жизнь, 
 Нам памятно небо родное, 
 В желании счастья мы вечно к нему 
 Стремимся неясным желаньем!..


Вотще! Мы надолго отвержены им! 
 Сияет красою над нами, 
 На бренную землю беспечно оно 
 Торжественный свод опирает...


Но нам недоступно! Как алчный Тантал 
 Сгорает средь влаги прохладной, 
 Так, сердцем постигнув блаженнейший мир, 
 Томимся мы жаждою счастья.


"
73;2273;;"Шуми, шуми с крутой вершины,
Не умолкай, поток седой!
Соединяй протяжный вой
С протяжным отзывом долины.

Я слышу: свищет Аквилон,
Качает елию скрыпучей,
И с непогодою ревучей
Твой рёв мятежный соглашон.

Зачем, с безумным ожиданьем,
К тебе прислушиваюсь я?
Зачем трепещет грудь моя
Каким-то вещим трепетаньем?

Как очарованный стою
Над дымной бездною твоею
И, мнится, сердцем разумею
Речь безглагольную твою.

Шуми, шуми с крутой вершины,
Не умолкай, поток седой!
Соединяй протяжный вой
С протяжным отзывом долины.";Е. А. Баратынский;Водопад;NA
